crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2023-03-20,18:30,QUEENS,10813,40.799797,-74.228218,POINT (-74.228218 40.799797),GRAND CONCOURSE,,,1,0,0,0,0,0,0,0,Unspecified,,,,,4004039,TAXI,,,,
2023-09-21,06:00,BROOKLYN,10731,40.785244,-73.823644,POINT (-73.823644 40.785244),BOSTON ROAD,CANAL STREET,,2,0,0,0,0,0,0,0,Unsafe Speed,Following Too Closely,,,,4003815,TAXI,Sedan,,,
2023-04-08,21:45,MANHATTAN,10642,40.713144,-74.057852,POINT (-74.057852 40.713144),BOSTON ROAD,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Following Too Closely,Traffic Control Disregarded,,,,4000848,Sedan,E-Bike,,,
2023-02-28,01:15,STATEN ISLAND,,40.667613,-73.739963,POINT (-73.739963 40.667613),BOSTON ROAD,JEROME AVENUE,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4004863,Station Wagon/Sport Utility Vehicle,,,,
2023-01-09,11:30,QUEENS,11671,40.723583,-73.860193,POINT (-73.860193 40.723583),,CANAL STREET,,1,1,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,4000079,,Bike,Unknown,,
2023-02-12,18:45,QUEENS,10016,40.871726,-74.064715,POINT (-74.064715 40.871726),NORTHERN BOULEVARD,BOSTON ROAD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,Failure to Yield Right-of-Way,,,4002480,Bus,,Sedan,,
2023-10-03,05:30,QUEENS,11067,40.771501,-73.9098,POINT (-73.9098 40.771501),QUEENS BOULEVARD,CANAL STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,Driver Inattention/Distraction,,,4003539,Sedan,TAXI,,,
2023-05-11,15:00,QUEENS,10844,,,,BELT PARKWAY,CANAL STREET,,1,0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,4002498,Sedan,Motorcycle,,,
2023-06-11,03:00,STATEN ISLAND,10777,40.827504,-74.025668,POINT (-74.025668 40.827504),GRAND CONCOURSE,LINDEN BOULEVARD,,4,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,4004593,TAXI,Station Wagon/Sport Utility Vehicle,Motorcycle,,
2023-01-21,14:00,STATEN ISLAND,11071,,,,ATLANTIC AVENUE,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Following Too Closely,,,,,4004302,Station Wagon/Sport Utility Vehicle,Box Truck,,,
